trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.95}",25,0,-130.85510037630203,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.8999999999999999}",25,0,-155.83981495165114,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.3, 'e': 0.8499999999999999}",35,0,-216.99591427561916,"{0: 22, 1: 5, 2: 2, 3: 2, 4: 4}",0
4,False,"{'a': 0.3, 'e': 0.7999999999999998}",25,0,-20.342578785057274,"{0: 18, 1: 6, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.7499999999999998}",20,0,-92.55843406292922,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.6999999999999997}",30,0,-81.15697179024629,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.6499999999999997}",20,0,-137.04935902696528,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.3, 'e': 0.5999999999999996}",30,0,-52.12015461167011,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.5499999999999996}",30,6,-71.90299845152967,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 2}",1
10,False,"{'a': 0.3, 'e': 0.4999999999999996}",25,0,-40.260049501192235,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.4499999999999996}",20,0,-70.3537209719395,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.39999999999999963}",30,0,-30.798257606647446,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.34999999999999964}",20,0,-61.141716731503635,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.29999999999999966}",20,6,26.62092063644245,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.3, 'e': 0.24999999999999967}",30,13,9.393105141184058,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.19999999999999968}",20,8,23.229736133230638,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.3, 'e': 0.1499999999999997}",25,11,16.541269455450827,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.09999999999999969}",20,0,8.620642173710394,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.049999999999999684}",20,16,8.5597232509137,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.3, 'e': -3.191891195797325e-16}",25,12,22.981702992838347,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.3, 'e': 0}",20,9,17.78071216509963,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.3, 'e': 0}",20,12,14.168597798813806,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.3, 'e': 0}",20,9,20.313818850730627,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.3, 'e': 0}",20,0,35.174294682213215,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.3, 'e': 0}",30,12,38.56490384829434,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.3, 'e': 0}",35,12,39.640541714452624,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.3, 'e': 0}",20,6,18.63093223090081,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.3, 'e': 0}",20,13,12.477356206891585,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.3, 'e': 0}",30,10,31.88824574015819,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.3, 'e': 0}",30,12,28.849557201201705,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
