trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9048374180359595}",20,0,-41.7957105350459,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.8187307530779818}",30,0,-51.57511290222827,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.3, 'e': 0.7408182206817179}",25,0,-26.415168214731818,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.3, 'e': 0.6703200460356393}",35,0,-129.3876480912946,"{0: 24, 1: 2, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.6065306597126334}",25,0,-94.1322172665857,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.5488116360940264}",25,0,-74.88894829372256,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.49658530379140947}",25,0,-102.6982835971205,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.3, 'e': 0.44932896411722156}",20,0,-31.33899689835084,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.4065696597405991}",25,2,-44.80209876144763,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 1}",1
10,False,"{'a': 0.3, 'e': 0.36787944117144233}",20,8,15.03562266252987,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.3, 'e': 0.33287108369807955}",20,0,5.01535851871784,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.301194211912202}",20,2,-14.008790058887996,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.3, 'e': 0.2725317930340126}",30,22,14.039720369529372,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.3, 'e': 0.24659696394160643}",25,4,11.998251723518703,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.3, 'e': 0.22313016014842982}",30,8,-143.64649509136905,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 4}",1
16,False,"{'a': 0.3, 'e': 0.20189651799465538}",20,2,19.9896734433958,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.3, 'e': 0.1826835240527346}",25,8,6.283972563764978,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.16529888822158653}",20,2,11.252513133871505,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.3, 'e': 0.14956861922263504}",20,0,26.377762722936097,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.3, 'e': 0.1353352832366127}",25,0,34.32823108012213,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.3, 'e': 0.1224564282529819}",20,7,0.2899536621554586,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.3, 'e': 0.11080315836233387}",25,19,13.117525939239734,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.3, 'e': 0.1002588437228037}",30,0,-3.160878979648206,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.3, 'e': 0.09071795328941247}",30,12,30.852851620549824,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.3, 'e': 0.0820849986238988}",20,8,25.58000290755598,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.3, 'e': 0.07427357821433388}",20,13,14.46418818717743,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.3, 'e': 0.06720551273974976}",25,0,41.89420850059193,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.3, 'e': 0.06081006262521795}",20,7,22.64663045847223,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.3, 'e': 0.05502322005640721}",20,1,9.2754763090052,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.3, 'e': 0.049787068367863944}",20,16,8.974757493884294,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.3, 'e': 0.0450492023935578}",25,0,16.483512981598217,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
